b,social_adaptation_rate,mean_final_cooperation,std_final_cooperation,mean_final_payoff,std_final_payoff
1.05,0.03,0.33847099611534415,0.0388989538414876,2.0827956033518378,0.2400529781387933
1.05,0.05,0.31930297040623146,0.03533986953897234,1.9715241596375062,0.21863813316203382
1.05,0.075,0.25848090674404406,0.03239732165847678,1.5935423271439808,0.19967786998815792
1.05,0.1,0.23282581323958987,0.037173685731787996,1.4350903198381246,0.22241501100889738
1.05,0.15,0.16799246595421533,0.03453567912941794,1.041001985905783,0.20892592227198017
1.05,0.2,0.13769024548030914,0.023359784601308893,0.8543937601707143,0.14385347815782112
1.05,0.25,0.11560108255626315,0.021039673311467458,0.7205622699518154,0.1286875717296459
1.1,0.03,0.33026404392374936,0.040303449193431054,2.0902593106902336,0.2494375621129917
1.1,0.05,0.2873177601674374,0.04046809839653373,1.8218104877868495,0.24754715796535953
1.1,0.075,0.2505891194516686,0.03172678618302161,1.596635535311648,0.19934303623796376
1.1,0.1,0.22013797877013394,0.0404630021852575,1.407427019809899,0.25877479977641593
1.1,0.15,0.16662824206863572,0.028153587743832528,1.0670625927802038,0.17224577449857803
1.1,0.2,0.13352595425243463,0.023576771097989037,0.8570719568582368,0.15310227642895982
1.1,0.25,0.11355071824909566,0.02557723950650573,0.7313411826993563,0.1657736053325586
1.2,0.03,0.2811068410313802,0.03594266202745115,1.8946447182878359,0.23065693606343524
1.2,0.05,0.270845989176182,0.03598076010260185,1.825407212597455,0.22601907916602562
1.2,0.075,0.22834496761886577,0.031595594900384494,1.550145850832145,0.20822977914190052
1.2,0.1,0.20131987067851176,0.027308401407213575,1.3647330125594095,0.17795576855990666
1.2,0.15,0.15299915182610896,0.03059655827501434,1.0490639195358988,0.20406000235045751
1.2,0.2,0.12825524818381379,0.022661777088851365,0.8849689874436052,0.15436889184811098
1.2,0.25,0.10990273647034672,0.022406712619736643,0.7616687811394481,0.15625566390040782
1.3,0.03,0.25822508859051163,0.03455351918088863,1.8501433842586257,0.23376976266180796
1.3,0.05,0.24389594489372204,0.030732052146386,1.7517825286134416,0.20564554292976303
1.3,0.075,0.20598124322047928,0.03028091199702336,1.488800178430882,0.21018478350081912
1.3,0.1,0.1886096791462001,0.03696350103249545,1.3579912480307172,0.2468347415951827
1.3,0.15,0.14567562052627203,0.026436634328095728,1.0619250953018016,0.1809691565988172
1.3,0.2,0.12502341234020278,0.026961203863923377,0.9178593124936661,0.18847567889161154
1.3,0.25,0.1035285008974678,0.01995072358137183,0.7692150024686679,0.14894933437198093
1.5,0.03,0.22426764309146113,0.03408133864961389,1.8098061762711672,0.25305587347919345
1.5,0.05,0.20860989399334876,0.033428779460115084,1.6750045022868085,0.24266230390098242
1.5,0.075,0.1895720652940773,0.03027287891531934,1.5456112841079643,0.2312864720662952
1.5,0.1,0.1625190495303249,0.030843265121687155,1.3241561514256568,0.23480314173707814
1.5,0.15,0.1317653612161908,0.029071621557936654,1.0904434003355128,0.23025272405926148
1.5,0.2,0.11155732077886772,0.02985173884064645,0.9258522690659646,0.23183596309605564
1.5,0.25,0.10008969988187014,0.02079439728287181,0.8510506621306358,0.16665609619610103
