round,mean_cooperation,std_cooperation,mean_payoff,std_payoff
0,0.4551781156298194,0.026613686465068665,3.482500629601066,0.18552415576293754
1,0.3093268144371516,0.060433490649570355,2.423348764461992,0.42887649838179337
2,0.23666321077069244,0.06560439250156061,1.8833727951756132,0.47404482247396507
3,0.18725631702317824,0.06845874198640424,1.5124153696518288,0.5223035876952705
4,0.14349513982578552,0.06328067792159012,1.1750411046807907,0.4902746690353034
5,0.11202469804168962,0.06077935259558999,0.9181036746892567,0.4777900506425727
6,0.08508277117379953,0.055757776507234284,0.7035884133002511,0.44003914849050807
7,0.06954248650088558,0.0472911448902863,0.5780333533117594,0.3752583265374211
8,0.05524898048061671,0.0422266658193363,0.4653079880245573,0.33953532925372526
9,0.043776838457857216,0.035271004326798104,0.36720669915044574,0.282831039910488
10,0.03677265293536266,0.032125232074084784,0.3148211173322887,0.2597063987913892
11,0.03221992267823991,0.03284891154271974,0.27719724115450023,0.2672005992420678
12,0.028658152606065926,0.028520613138310304,0.2467269354345303,0.22942124077743234
13,0.02762875811047074,0.030251956954621188,0.2387303861094824,0.24253089265723224
14,0.02395999250593999,0.023170158942132014,0.20960638962732003,0.19534455715110696
15,0.02247041296064435,0.021972769197173704,0.19463233317680992,0.18111579646953055
16,0.020163093040805668,0.020564060432021376,0.1756518096311885,0.17594374495357437
17,0.021411308742977836,0.021815530684539806,0.18639307658670393,0.18486696915999618
18,0.022523194144318512,0.020131412304666845,0.19620677489580515,0.17154345599379417
19,0.019990259207727616,0.019104559421583168,0.17595825588120834,0.16386724778783884
20,0.02113403932071907,0.021997502848967582,0.18554943342324262,0.18805630263404813
21,0.019972318462114322,0.018226002981841537,0.17695401196463104,0.15943414847179743
22,0.018497248587792132,0.017481453789842713,0.16296942487504298,0.1552324057336871
23,0.019473706692591578,0.017444218499004294,0.1719688260917405,0.15247499543490536
24,0.01784141478079773,0.013973970560861635,0.15999939538567018,0.12428132865013557
25,0.0191240388300952,0.016206735528662634,0.16831797320319353,0.14331919427615947
26,0.020653791175877432,0.01635058983893217,0.18512127137678935,0.14702873868528749
27,0.01924144556937081,0.017164585087849692,0.17393235707869936,0.15586448057601993
28,0.020102972576454232,0.017420025223023012,0.18127184572941263,0.15464768791502456
29,0.01980752207215399,0.01915491417672164,0.1765513810196526,0.16941353538148007
30,0.018644220789917183,0.016736615298795714,0.16612431257617716,0.146386563921003
31,0.019175281609741503,0.017594124547791697,0.1693743829897355,0.1543793730548695
32,0.019351196220385804,0.01697033567311858,0.17330800314604877,0.1514045525661903
33,0.01798622548373897,0.01571473719171346,0.16106344608201015,0.13877471758060117
34,0.01768605738557225,0.016727820989181807,0.1588064738904384,0.14790823424964786
35,0.017812231864810783,0.017014935447144622,0.1593864337030242,0.15113445074278634
36,0.017429211044804653,0.014704443290241398,0.15503585154392271,0.1297545493222565
37,0.019248543245774408,0.0173117820222984,0.1712053419867477,0.1529981291657559
38,0.018891113837359853,0.016666225585167126,0.1673034152908662,0.1446281828321561
39,0.018739662505374097,0.019397416111133155,0.16629072083686894,0.16835488443350188
40,0.018518454466190954,0.018344415564406576,0.16458401955822757,0.1596676716527977
41,0.018027500354464068,0.018551495534619163,0.1594553420876524,0.16155966605386166
42,0.017186299671286938,0.017673755398260056,0.15153213698057347,0.1524802992550777
43,0.017869602614703328,0.017205636709843583,0.1567835251271066,0.149119389046332
44,0.020119768577133646,0.018658427575395268,0.17949931878935457,0.16590539265178528
45,0.020145948872538087,0.01808306899005077,0.17934502776127464,0.1586698475780108
46,0.018837504692477313,0.01714698203275101,0.168361146094157,0.15196294365567986
47,0.01864299266638533,0.017524485727813933,0.16599589834470363,0.15514537753841462
48,0.017507521293300188,0.016279878562289875,0.15659089038445492,0.14450449004308236
49,0.018485587848030362,0.01640232315385531,0.16665659119349402,0.14752458766276394
50,0.01977029184296346,0.016859961796286953,0.1755837328102209,0.14851606535425346
51,0.017435513686812815,0.015942475125288735,0.1557580613817522,0.14429270458639967
52,0.017521238695267595,0.016101173825298142,0.15480538117784806,0.14187599677062757
53,0.017722315432649006,0.014982640607107424,0.1568444372394681,0.13199026119000742
54,0.017136338716403982,0.01469766585529858,0.1526383709488553,0.12978409559515955
55,0.017880225989826765,0.01699312591025307,0.15764797856169951,0.14890727378933044
56,0.017771673408682354,0.017863556052639937,0.15947270666099087,0.1588402277110435
57,0.01836368676484174,0.01731804461400122,0.16320987830062963,0.1527853075488887
58,0.01731193146398942,0.016983726398027005,0.15386936392846987,0.1491589784756489
59,0.019129902413872316,0.01885489274799731,0.16897977784219262,0.1649324706662984
60,0.018369702301466288,0.01799530148321624,0.16518700583000712,0.15836403244343647
61,0.01723742598238698,0.016711402161721386,0.15210860274340574,0.14668559834317246
62,0.01726224057872793,0.016545645100501192,0.15362237270022558,0.14805007807742906
63,0.017425822813487996,0.016694996108025453,0.15286691791464285,0.14412978408331223
64,0.018567274067238643,0.017735923299783414,0.16527970933003877,0.15618399884764825
65,0.018957940455597767,0.018527315827103194,0.16832442267758232,0.16134315792577722
66,0.01728973331345817,0.016629134152280126,0.15466489582249845,0.14707666211092316
67,0.019283700962492,0.016937008912873124,0.1720634323657763,0.14747344944929086
68,0.021056949489378494,0.01780102742131707,0.18820747776711244,0.1578148361881005
69,0.01947530896034463,0.016843164791064864,0.17322238864842546,0.14786352464891062
70,0.01814998090746068,0.016995589908426565,0.16249409247641403,0.15164751464810022
71,0.019595162943776438,0.018295166589745376,0.17452065265375946,0.15861773598844262
72,0.019162679980438958,0.01784168240267044,0.16989951176423887,0.15261498097394838
73,0.021120417142973084,0.019953825370145964,0.18589446482365507,0.17344429976921616
74,0.020369318548152313,0.01907919827108626,0.18135554046940644,0.16764086174939588
75,0.01823665492334886,0.01685232497009865,0.1614119415108693,0.14844387869960407
76,0.018894983905302254,0.015794914545442972,0.1693091269036064,0.1406925727543885
77,0.020847320982833237,0.018765459583539982,0.18708938240209538,0.16431646356538027
78,0.01881978075147544,0.018426761960281972,0.1670266210637708,0.1614936708162651
79,0.01970775107359094,0.01911816145777553,0.17489545122497424,0.16676982103621868
80,0.0193335456620873,0.01623048125060137,0.1715544792027743,0.14110439147685883
81,0.019248233292916292,0.01793965961322856,0.17159444397262266,0.1577177665246861
82,0.018852577672756773,0.016359028510717813,0.16746225242698556,0.14473888193668735
83,0.017321722875565233,0.016875109059814184,0.15331955246826603,0.14945943177612112
84,0.019488437602499836,0.017977591379673807,0.1725018318094041,0.15519711116603205
85,0.019328321455911613,0.018548777782194305,0.16830615381552147,0.15656069455345037
86,0.018096474883149166,0.016455315706367265,0.15985240058334993,0.1457482412831553
87,0.01791490203598803,0.015405562710176018,0.16028360440415465,0.13650646801678112
88,0.017520094476757567,0.017000648563313802,0.15478266665309104,0.15232551872950828
89,0.017585883523449735,0.016032077121621337,0.156707304160288,0.14269092364534386
90,0.018165459138542207,0.016705955354911275,0.16287623602505283,0.1491748051821157
91,0.016841933944220067,0.014827116403930658,0.1507047224688287,0.13166597563444352
92,0.017073983740207167,0.016448503342702793,0.15175978813293411,0.14585385089918898
93,0.01856528229699908,0.01776746603437888,0.16591335210686303,0.15563668560586635
94,0.019975040646989482,0.018385644791083514,0.17396959731597725,0.1555801771656857
95,0.018935894346216686,0.015995338647704232,0.1694274392504802,0.14203378968828112
96,0.018643553460141318,0.01695892046000978,0.165127478340631,0.1485818665361446
97,0.01827920031669524,0.015303371595703701,0.165054958152198,0.14067157583089845
98,0.01876802598506778,0.01612822499532321,0.1669681093754982,0.14086891215055197
99,0.018284937569950074,0.016469768491359168,0.16208139543180777,0.14318142555608934
100,0.01784833860387919,0.017139716558482683,0.15705907597236166,0.14898946678977446
