b,rho,internal_cooperation,internal_cooperation_std,expected_global,corr_degree_coop,corr_size_coop,mean_b_eff,n,ci95_halfwidth
1.5,0.0,0.36765078751027935,0.006216781888405737,0.4178633157916111,-0.005817054177693427,-0.016883891865122323,1.5,15,0.003146125715517777
1.5,0.05,0.3659212398772464,0.0075957333815261764,0.40233874423717325,-0.03317996343251868,-0.05785982647205415,1.5141352164706454,15,0.0038439714548139966
1.5,0.1,0.3624999196152893,0.008922345645185063,0.39713567236275427,-0.010062435233506207,-0.06497340312174106,1.5299571246447212,15,0.004515329889473315
1.5,0.2,0.3576418563879481,0.009809838044473959,0.3876880881146775,0.045282033935672476,0.00900080326688022,1.5620016269091141,15,0.004964463011697971
1.5,0.4,0.34825104714969063,0.014011371976816197,0.3948553844957885,-0.06482511561135323,-0.021387464542074415,1.6292644913707555,15,0.0070907325489669186
2.0,0.0,0.3035418577251641,0.005242435631141467,0.36626242780915175,0.019264214552639703,0.00338113548112392,2.0,15,0.002653038476682102
2.0,0.05,0.3023339451147327,0.0051825282627879585,0.3472753247712116,-0.019702859703689728,-0.07879255346049716,2.029437093110678,15,0.0026227211653288636
2.0,0.1,0.299670813093606,0.006860104475977495,0.34798666647566245,0.03367642310840272,-0.031019114747570596,2.0608286562320792,15,0.0034716918641239623
2.0,0.2,0.29502334473745856,0.0056028444319921366,0.36318911553687944,-0.023711253867884818,-0.015294213438115762,2.1002029578898282,15,0.0028354304950622094
2.0,0.4,0.2876751221043345,0.0040383446630914725,0.35701147398783745,-0.024606855908256862,-0.003148800035872666,2.2322631354863507,15,0.0020436843725161196
3.0,0.0,0.25573986052956943,0.004303350620359363,0.33324720222568877,-0.022971243790767884,-0.023839673913191976,3.0,15,0.002177795890644307
3.0,0.05,0.25610868313535157,0.003985704162856981,0.32117323600840014,-0.018179470133125885,-0.05413197456193956,3.0541044582298347,15,0.002017044603832209
3.0,0.1,0.2540033081972877,0.004812082558758259,0.3283364398960915,-0.01800846999531945,-0.026729326219199212,3.1032230132449214,15,0.0024352497731243987
3.0,0.2,0.25544696418682755,0.005840435574033458,0.3317835274689885,-0.05961362652321988,-0.08657286027040773,3.1981163655682883,15,0.002955668202476314
3.0,0.4,0.24855365994242215,0.009678220018121672,0.32475569974859264,-0.04361036594914614,-0.01066110604206304,3.4117204474399108,15,0.004897855100279219
5.0,0.0,0.23379966499796678,0.006081337433604858,0.30057061337266394,-0.02704602913713892,-0.04526546223596555,5.0,15,0.003077581364127864
5.0,0.05,0.23269567823192397,0.004651196158766532,0.3181306376384435,0.03004454171296618,0.007071728009133133,5.09409584917883,15,0.002353830021011967
5.0,0.1,0.23210601807105924,0.005385018832306416,0.32034416433873786,0.002712421843357392,0.0185627706523073,5.178165489312983,15,0.0027251955321873785
5.0,0.2,0.2311062125191798,0.004535636424362055,0.3218271024649005,0.03762912938699982,0.0344599982514933,5.347724481188108,15,0.00229534872657145
5.0,0.4,0.23185513166422542,0.005607982133086254,0.30903007678469496,-0.02335426082765148,-0.04612885759388803,5.747699383218507,15,0.002838030530550183
