spread,rho,internal_cooperation,internal_cooperation_std,expected_global,corr_degree_coop,corr_climate_coop,std_between_communities,n,ci95_halfwidth
0.0,0.0,0.2734961919188618,0.004506199930771192,0.34524662112747195,-0.0375732343986053,0.012889704510865307,0.055730565920446055,11,0.0026629939841235728
0.0,0.05,0.2729290853160501,0.005835473431503166,0.35157204950384907,-0.03834291205602249,0.02978316152964849,0.054356981325066174,11,0.0034485444235374586
0.0,0.1,0.2715999965025519,0.005463258581081571,0.35016842460405123,-0.06536205923967014,0.0008488381499526091,0.05738279239129063,11,0.0032285795034935026
0.0,0.2,0.2672574797509732,0.006659483620681712,0.3452396478386924,0.00640804872872289,0.0075476446482855425,0.05559097069513055,11,0.003935503326904059
0.0,0.4,0.26398505756776847,0.007128076404143131,0.3413281673019866,-0.014375776522193462,0.0005532999503335626,0.0579781259952635,11,0.004212423965697803
0.5,0.0,0.27842791661454774,0.0047121333973944544,0.3490569807944498,0.022432800050586302,0.03885056172613663,0.05742765226026247,11,0.002784692885897247
0.5,0.05,0.274395924472728,0.004691994308432813,0.3388999346811177,0.013323821396757281,0.03150192329222389,0.05550331631536288,11,0.002772791444866111
0.5,0.1,0.2752910717010264,0.003971765062469405,0.343343604774258,-0.004504510380358537,-0.03548071647014062,0.06015606224458097,11,0.002347163159690986
0.5,0.2,0.2709640798979322,0.005644310993474192,0.3335773990968392,0.0183317409015442,0.021575800107505937,0.057622622114501934,11,0.0033355746418406145
0.5,0.4,0.2631617693299521,0.006394761291926571,0.3319567872173039,-0.04670981827190146,-0.017178037823893308,0.05521813732956055,11,0.00377906242774993
1.0,0.0,0.28524758606881756,0.007494877712002715,0.3346476632688618,-0.010446100199846566,-0.0326815626324945,0.0663080453602231,11,0.004429189686528028
1.0,0.05,0.28344529339867036,0.0048107647626278675,0.3416687743550321,-0.026328585423282782,0.014421780963810572,0.06500657549595168,11,0.002842980297973418
1.0,0.1,0.28194698629066006,0.006373962705277125,0.32260156458020456,-0.033424435915790966,0.010641254942396379,0.06386683557242284,11,0.0037667712484909864
1.0,0.2,0.27353649212411196,0.00367261255558438,0.3314329926955255,0.031135260649479347,-0.0071332189612245194,0.06291673917208708,11,0.0021703753255049494
1.0,0.4,0.27401299512083077,0.006525175767867156,0.32205860052243307,-0.01920411728339778,-0.011146174705787576,0.06189214796303211,11,0.0038561324579767004
1.5,0.0,0.29875454189445777,0.008409051915076004,0.3389032751836663,-2.0834309203372224e-05,-0.05082774862899509,0.08345369137718321,11,0.004969432117096017
1.5,0.05,0.2966720859856341,0.007179466494340966,0.3328297951522736,-0.0019385807438509729,-0.036349315220809704,0.08477862207207702,11,0.004242793568277106
1.5,0.1,0.2951663095171178,0.010896369703042174,0.33113450477516165,-0.030881582888156515,-0.032299974571284494,0.08217992075121121,11,0.00643934299715408
1.5,0.2,0.2922874764429078,0.006677211690401315,0.3248186209313784,-0.012616000261439591,-0.05084675958067219,0.08047026352349938,11,0.003945979946614394
1.5,0.4,0.28529140798397834,0.005863679431417115,0.32495704132020337,-0.009188054531065975,-0.05282769167525529,0.07673529443630317,11,0.0034652131042975194
